Date,EUR_Rate
01/01/2015,0.1
02/01/2015,0.02
05/01/2015,0.01
06/01/2015,0.01
07/01/2015,0.01
08/01/2015,0.02
09/01/2015,0.01
12/01/2015,0.08
13/01/2015,0.02
14/01/2015,0.02
15/01/2015,0
16/01/2015,0
19/01/2015,-0.01
20/01/2015,-0.01
21/01/2015,-0.01
22/01/2015,-0.01
23/01/2015,-0.01
26/01/2015,-0.01
27/01/2015,-0.01
28/01/2015,-0.01
29/01/2015,-0.01
30/01/2015,0.065
02/02/2015,0
03/02/2015,0
04/02/2015,0
05/02/2015,0
06/02/2015,0
09/02/2015,0
10/02/2015,0
11/02/2015,0
12/02/2015,0
13/02/2015,-0.01
16/02/2015,0
17/02/2015,0
18/02/2015,0
19/02/2015,-0.01
20/02/2015,-0.01
23/02/2015,-0.01
24/02/2015,-0.01
25/02/2015,-0.01
26/02/2015,-0.01
27/02/2015,-0.01
02/03/2015,-0.01
03/03/2015,-0.01
04/03/2015,-0.01
05/03/2015,-0.02
06/03/2015,0.025
09/03/2015,-0.02
10/03/2015,-0.02
11/03/2015,-0.03
12/03/2015,-0.02
13/03/2015,-0.03
16/03/2015,-0.03
17/03/2015,-0.03
18/03/2015,-0.03
19/03/2015,-0.03
20/03/2015,-0.03
23/03/2015,-0.03
24/03/2015,-0.03
25/03/2015,-0.03
26/03/2015,-0.02
27/03/2015,-0.02
30/03/2015,-0.02
31/03/2015,-0.02
01/04/2015,-0.03
02/04/2015,-0.02
03/04/2015,0.025
06/04/2015,0.02
07/04/2015,0.01
08/04/2015,0
09/04/2015,-0.04
10/04/2015,-0.04
13/04/2015,-0.03
14/04/2015,-0.035
15/04/2015,-0.05
16/04/2015,-0.05
17/04/2015,-0.01
20/04/2015,-0.05
21/04/2015,-0.02
22/04/2015,-0.01
23/04/2015,-0.06
24/04/2015,-0.015
27/04/2015,-0.06
28/04/2015,-0.06
29/04/2015,-0.01
30/04/2015,-0.03
01/05/2015,0.04
04/05/2015,-0.02
05/05/2015,-0.03
06/05/2015,-0.02
07/05/2015,-0.025
08/05/2015,-0.02
11/05/2015,-0.02
12/05/2015,-0.03
13/05/2015,-0.03
14/05/2015,-0.04
15/05/2015,-0.02
18/05/2015,-0.005
19/05/2015,-0.03
20/05/2015,-0.04
21/05/2015,-0.02
22/05/2015,-0.04
25/05/2015,-0.04
26/05/2015,-0.025
27/05/2015,-0.04
28/05/2015,-0.04
29/05/2015,-0.04
01/06/2015,-0.02
02/06/2015,-0.04
03/06/2015,-0.005
04/06/2015,-0.04
05/06/2015,-0.06
08/06/2015,-0.035
09/06/2015,-0.04
10/06/2015,-0.02
11/06/2015,-0.02
12/06/2015,-0.02
15/06/2015,-0.05
16/06/2015,-0.055
17/06/2015,-0.03
18/06/2015,-0.03
19/06/2015,-0.03
22/06/2015,-0.03
23/06/2015,-0.03
24/06/2015,-0.01
25/06/2015,-0.01
26/06/2015,-0.03
29/06/2015,-0.045
30/06/2015,-0.04
01/07/2015,-0.03
02/07/2015,-0.01
03/07/2015,-0.005
06/07/2015,-0.03
07/07/2015,-0.01
08/07/2015,-0.03
09/07/2015,-0.03
10/07/2015,-0.03
13/07/2015,-0.03
14/07/2015,-0.03
15/07/2015,-0.03
16/07/2015,0.025
17/07/2015,0.025
20/07/2015,-0.055
21/07/2015,-0.01
22/07/2015,-0.01
23/07/2015,-0.055
24/07/2015,-0.055
27/07/2015,-0.06
28/07/2015,-0.02
29/07/2015,-0.01
30/07/2015,-0.01
31/07/2015,-0.035
03/08/2015,-0.035
04/08/2015,-0.035
05/08/2015,-0.01
06/08/2015,-0.04
07/08/2015,-0.01
10/08/2015,0
11/08/2015,-0.04
12/08/2015,-0.02
13/08/2015,-0.04
14/08/2015,-0.02
17/08/2015,-0.04
18/08/2015,-0.04
19/08/2015,-0.04
20/08/2015,-0.06
21/08/2015,-0.06
24/08/2015,-0.06
25/08/2015,-0.05
26/08/2015,-0.06
27/08/2015,0
28/08/2015,-0.04
31/08/2015,-0.08
01/09/2015,-0.06
02/09/2015,-0.06
03/09/2015,-0.055
04/09/2015,-0.06
07/09/2015,-0.06
08/09/2015,-0.06
09/09/2015,-0.06
10/09/2015,-0.06
11/09/2015,-0.06
14/09/2015,-0.06
15/09/2015,-0.06
16/09/2015,-0.06
17/09/2015,-0.06
18/09/2015,-0.06
21/09/2015,-0.06
22/09/2015,-0.06
23/09/2015,-0.06
24/09/2015,-0.07
25/09/2015,-0.07
28/09/2015,-0.06
29/09/2015,-0.06
30/09/2015,-0.06
01/10/2015,-0.05
02/10/2015,-0.07
05/10/2015,-0.07
06/10/2015,-0.07
07/10/2015,-0.07
08/10/2015,-0.07
09/10/2015,-0.08
12/10/2015,0
13/10/2015,-0.05
14/10/2015,-0.05
15/10/2015,0.02
16/10/2015,-0.05
19/10/2015,-0.015
20/10/2015,-0.015
21/10/2015,-0.015
22/10/2015,-0.06
23/10/2015,-0.015
26/10/2015,-0.015
27/10/2015,-0.06
28/10/2015,-0.015
29/10/2015,-0.08
30/10/2015,-0.08
02/11/2015,-0.06
03/11/2015,-0.085
04/11/2015,-0.06
05/11/2015,-0.07
06/11/2015,-0.07
09/11/2015,-0.06
10/11/2015,-0.08
11/11/2015,-0.07
12/11/2015,-0.06
13/11/2015,-0.08
16/11/2015,-0.08
17/11/2015,-0.105
18/11/2015,-0.09
