Date,EUR/TND
01/01/2015,2.2592
02/01/2015,2.2509
05/01/2015,2.2477
06/01/2015,2.2397
07/01/2015,2.2347
08/01/2015,2.2328
09/01/2015,2.2394
12/01/2015,2.2389
13/01/2015,2.2328
14/01/2015,2.235
15/01/2015,2.2182
16/01/2015,2.2151
19/01/2015,2.22
20/01/2015,2.2126
21/01/2015,2.2201
22/01/2015,2.2143
23/01/2015,2.1901
26/01/2015,2.1849
27/01/2015,2.1957
28/01/2015,2.1891
29/01/2015,2.1926
30/01/2015,2.1843
02/02/2015,2.1897
03/02/2015,2.2055
04/02/2015,2.1914
05/02/2015,2.1945
06/02/2015,2.1875
09/02/2015,2.1876
10/02/2015,2.1888
11/02/2015,2.189
12/02/2015,2.1919
13/02/2015,2.1878
16/02/2015,2.1895
17/02/2015,2.1938
18/02/2015,2.1966
19/02/2015,2.1996
20/02/2015,2.1985
23/02/2015,2.1945
24/02/2015,2.1959
25/02/2015,2.1951
26/02/2015,2.1861
27/02/2015,2.1835
02/03/2015,2.1835
03/03/2015,2.1827
04/03/2015,2.17
05/03/2015,2.1669
06/03/2015,2.1502
09/03/2015,2.1447
10/03/2015,2.1293
11/03/2015,2.1114
12/03/2015,2.122
13/03/2015,2.0788
16/03/2015,2.0758
17/03/2015,2.0718
18/03/2015,2.1062
19/03/2015,2.0996
20/03/2015,2.1094
23/03/2015,2.1137
24/03/2015,2.1176
25/03/2015,2.1226
26/03/2015,2.1216
27/03/2015,2.1175
30/03/2015,2.1134
31/03/2015,2.1056
01/04/2015,2.1098
02/04/2015,2.1183
03/04/2015,2.1235
06/04/2015,2.1215
07/04/2015,2.115
08/04/2015,2.1108
09/04/2015,2.1035
10/04/2015,2.0979
13/04/2015,2.0954
14/04/2015,2.1
15/04/2015,2.1071
16/04/2015,2.1136
17/04/2015,2.1056
20/04/2015,2.105
21/04/2015,2.1035
22/04/2015,2.1022
23/04/2015,2.1087
24/04/2015,2.1147
27/04/2015,2.1159
28/04/2015,2.1238
29/04/2015,2.1355
30/04/2015,2.1445
01/05/2015,2.1457
04/05/2015,2.1396
05/05/2015,2.1424
06/05/2015,2.1561
07/05/2015,2.1546
08/05/2015,2.1579
11/05/2015,2.1534
12/05/2015,2.1594
13/05/2015,2.1717
14/05/2015,2.1798
15/05/2015,2.1826
18/05/2015,2.1751
19/05/2015,2.1639
20/05/2015,2.1621
21/05/2015,2.1633
22/05/2015,2.1581
25/05/2015,2.1532
26/05/2015,2.1469
27/05/2015,2.1496
28/05/2015,2.153
29/05/2015,2.1563
01/06/2015,2.1518
02/06/2015,2.1648
03/06/2015,2.1745
04/06/2015,2.1715
05/06/2015,2.1682
08/06/2015,2.1802
09/06/2015,2.1831
10/06/2015,2.1846
11/06/2015,2.1821
12/06/2015,2.1826
15/06/2015,2.1852
16/06/2015,2.1811
17/06/2015,2.1861
18/06/2015,2.1883
19/06/2015,2.1881
22/06/2015,2.1875
23/06/2015,2.1756
24/06/2015,2.1774
25/06/2015,2.1727
26/06/2015,2.1719
29/06/2015,2.1818
30/06/2015,2.1756
01/07/2015,2.1681
02/07/2015,2.1705
03/07/2015,2.1749
06/07/2015,2.1728
07/07/2015,2.1751
08/07/2015,2.1794
09/07/2015,2.1766
10/07/2015,2.1756
13/07/2015,2.165
14/07/2015,2.1615
15/07/2015,2.157
16/07/2015,2.1526
17/07/2015,2.1491
20/07/2015,2.1493
21/07/2015,2.1585
22/07/2015,2.1575
23/07/2015,2.1577
24/07/2015,2.1629
27/07/2015,2.1685
28/07/2015,2.1652
29/07/2015,2.164
30/07/2015,2.16
31/07/2015,2.1626
03/08/2015,2.1611
04/08/2015,2.1608
05/08/2015,2.1587
06/08/2015,2.1577
07/08/2015,2.1566
10/08/2015,2.1593
11/08/2015,2.1643
12/08/2015,2.1757
13/08/2015,2.1751
14/08/2015,2.1719
17/08/2015,2.1698
18/08/2015,2.1651
19/08/2015,2.1702
20/08/2015,2.1834
21/08/2015,2.1971
24/08/2015,2.2081
25/08/2015,2.2181
26/08/2015,2.2178
27/08/2015,2.206
28/08/2015,2.1911
31/08/2015,2.1928
01/09/2015,2.1983
02/09/2015,2.1905
03/09/2015,2.1866
04/09/2015,2.1945
07/09/2015,2.1956
08/09/2015,2.1963
09/09/2015,2.196
10/09/2015,2.2038
11/09/2015,2.2096
14/09/2015,2.2073
15/09/2015,2.2049
16/09/2015,2.2051
17/09/2015,2.2129
18/09/2015,2.2102
21/09/2015,2.1997
22/09/2015,2.1971
23/09/2015,2.1998
24/09/2015,2.2013
25/09/2015,2.2013
28/09/2015,2.2056
29/09/2015,2.2055
30/09/2015,2.1999
01/10/2015,2.2024
02/10/2015,2.2031
05/10/2015,2.2024
06/10/2015,2.2079
07/10/2015,2.2044
08/10/2015,2.2071
09/10/2015,2.2155
12/10/2015,2.2187
13/10/2015,2.2234
14/10/2015,2.2286
15/10/2015,2.2211
16/10/2015,2.2222
19/10/2015,2.2176
20/10/2015,2.2191
21/10/2015,2.2181
