pricing_date,option_id,model,issue_date,maturity_date,T,spot,strike,price,delta,gamma,vega,theta,rho_d,rho_f,eur_rate,tnd_rate,volatility,notional_eur,option_value_eur
2024-06-01,OPT-2024-001,merton_jump,2024-05-22,2024-11-22,0.4767123287671233,3.3802,3.1081,3.042547019340936e-98,4.724426150339146e-97,7.174666602994435e-96,1.9772891184510255e-95,1.0783436441942821e-95,7.467818080632762e-97,-7.612860048130109e-97,3.835,9.12,0.031558886326510785,999159,8.999905966302534e-93
2024-06-01,OPT-2024-003,merton_jump,2024-02-21,2024-09-04,0.2602739726027397,3.3802,3.2507,7.981813192183511e-51,8.58440041519087e-50,8.970262368015256e-49,1.627805308416548e-48,1.9439250584184687e-48,7.344621511232695e-50,-7.552367334042949e-50,3.835,9.12,0.031558886326510785,627035,1.4806450017634422e-45
2024-06-01,OPT-2024-006,merton_jump,2024-01-11,2024-12-26,0.5698630136986301,3.3802,3.311,1.77818325043703e-129,3.320523340434521e-128,6.0897207945888225e-127,1.835881236641512e-126,7.511385887515163e-127,6.294829181975227e-128,-6.396161268575472e-128,3.835,9.12,0.031558886326510785,356508,1.8674852832345628e-124
2024-06-01,OPT-2024-007,merton_jump,2024-01-10,2024-02-18,0.0,3.3802,3.191,0.18920000000000003,1.0,0.0,0.0,0.0,0.0,0.0,3.835,9.12,0.031558886326510785,308261,17179.58738107161
2024-06-01,OPT-2024-008,merton_jump,2024-03-14,2024-07-02,0.08493150684931507,3.3802,3.1626,5.2949717177881224e-18,5.73472358905586e-17,6.027826784902699e-16,3.4964947259880465e-16,1.3382653866090043e-15,1.6013848784174854e-17,-1.64635587108911e-17,3.835,9.12,0.031558886326510785,661353,1.0389382989599264e-12
2024-06-01,OPT-2024-011,merton_jump,2024-01-19,2024-11-19,0.4684931506849315,3.3802,3.1399,3.887707029212541e-96,5.944011296994144e-95,8.884548066116281e-94,2.427127452380886e-93,1.3546692732610168e-93,9.230803135406844e-95,-9.412939546912419e-95,3.835,9.12,0.031558886326510785,401648,4.6077955408084236e-91
2024-06-01,OPT-2024-014,merton_jump,2024-05-16,2024-11-08,0.4383561643835616,3.3802,3.2867,6.603857365069761e-89,9.53493381445263e-88,1.3438481917917308e-86,3.549556617260049e-86,2.1569502602426824e-86,1.3838727690128568e-87,-1.4128211848597381e-87,3.835,9.12,0.031558886326510785,572525,1.1180062209286665e-83
2024-06-01,OPT-2024-016,merton_jump,2024-05-03,2024-06-18,0.04657534246575343,3.3802,3.1003,1.5646753086333012e-10,1.730984306963466e-09,1.8627681283970496e-08,5.652677564530644e-09,4.2754144895748485e-08,2.652282071235283e-10,-2.725157359582588e-10,3.835,9.12,0.031558886326510785,285340,1.3243094728010743e-05
2024-06-01,OPT-2024-017,merton_jump,2024-05-13,2024-09-26,0.32054794520547947,3.3802,3.1748,1.02664296727828e-61,1.1425577914553337e-60,1.233637540435596e-59,2.7073876224087824e-59,2.6006766004190687e-59,1.2050710064221658e-60,-1.2379798357842364e-60,3.835,9.12,0.031558886326510785,264899,8.057737411900361e-57
2024-06-01,OPT-2024-018,merton_jump,2024-01-17,2024-06-29,0.07671232876712329,3.3802,3.3288,2.875180252299759e-17,3.1310392209595775e-16,3.3076590964880823e-15,1.7692220745849683e-15,6.9849740765172994e-15,7.898317287255135e-17,-8.118879060034296e-17,3.835,9.12,0.031558886326510785,542296,4.605383831820504e-12
