eval_date,option_id,model,price,option_value_eur,delta,gamma,vega,theta,spot,strike,T
2024-01-31,OPT-2024-006,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.374,3.311,0.9041095890410958
2024-01-31,OPT-2024-006,merton_jump,1.124039374236659e-280,1.180489687239624e-275,3.303306899317468e-279,9.60172347844494e-278,3.63212620204229e-277,7.421755186122996e-278,3.374,3.311,0.9041095890410958
2024-01-31,OPT-2024-006,sabr,9.559329307088046e-59,1.0039407802425455e-53,1.5030296886971824e-57,2.3093554814814543e-56,7.466817230104e-56,1.3602428865173215e-56,3.374,3.311,0.9041095890410958
2024-01-31,OPT-2024-007,black_scholes,1.6746602403182584e-303,1.5206116243210306e-298,3.421474319431766e-300,6.984269041159514e-297,9.492629967297544e-299,3.633083025798883e-299,3.374,3.191,0.049315068493150684
2024-01-31,OPT-2024-007,merton_jump,1.7691211513414275e-11,1.6063832667638512e-06,1.9348793356456187e-10,2.065022520514843e-09,6.809244100354256e-10,4.520226373381932e-09,3.374,3.191,0.049315068493150684
2024-01-31,OPT-2024-007,sabr,6.378889882292362e-210,5.792108674792559e-205,8.947946081020192e-207,1.2535748239294388e-203,2.0569383509282947e-205,9.500325098760409e-206,3.374,3.191,0.049315068493150684
2024-01-31,OPT-2024-011,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.374,3.1399,0.8027397260273973
2024-01-31,OPT-2024-011,merton_jump,5.793491740570881e-225,6.866573331612409e-220,1.5063115793005494e-223,3.867614971707578e-222,1.378244099466959e-221,3.4003836303166714e-222,3.374,3.1399,0.8027397260273973
2024-01-31,OPT-2024-011,sabr,1.7277716536412427e-59,2.0477928149837637e-54,3.15263781194505e-58,5.636738929676086e-57,1.4909573751123687e-56,2.875012645155251e-57,3.374,3.1399,0.8027397260273973
2024-01-31,OPT-2024-018,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.374,3.3288,0.410958904109589
2024-01-31,OPT-2024-018,merton_jump,1.1523973627746168e-81,1.8458780725520542e-76,1.5647932300084938e-80,2.070424978757271e-79,5.2666016814062163e-79,3.502904346916698e-79,3.374,3.3288,0.410958904109589
2024-01-31,OPT-2024-018,sabr,2.054826947509393e-83,3.2913647044144426e-78,1.0476560376973254e-81,5.295916542912599e-80,4.297465916614241e-80,9.270133628248638e-81,3.374,3.3288,0.410958904109589
2024-02-29,OPT-2024-003,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.3719,3.2507,0.5150684931506849
2024-02-29,OPT-2024-003,merton_jump,1.6333604382611923e-111,3.029921786891624e-106,2.774819835003252e-110,4.619974154113905e-109,1.316452077886189e-108,6.293772731183412e-109,3.3719,3.2507,0.5150684931506849
2024-02-29,OPT-2024-003,sabr,2.9974005913037493e-71,5.560248150311066e-66,1.0225769337304268e-69,3.4470605014004203e-68,4.305177693029976e-68,9.29626010262862e-69,3.3719,3.2507,0.5150684931506849
2024-02-29,OPT-2024-006,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.3719,3.311,0.8246575342465754
2024-02-29,OPT-2024-006,merton_jump,7.634178108842539e-242,8.017573703020196e-237,2.0671568299770464e-240,5.530586164855656e-239,1.9958390394657267e-238,4.682756814911981e-239,3.3719,3.311,0.8246575342465754
2024-02-29,OPT-2024-006,sabr,6.350238945303969e-59,6.669153908891849e-54,1.0851274819256438e-57,1.8147951045386807e-56,5.166991466005147e-56,9.935329203498011e-57,3.3719,3.311,0.8246575342465754
2024-02-29,OPT-2024-007,black_scholes,0.18090000000000028,16425.93740610919,1.0,0.0,0.0,0.0,3.3719,3.191,0.0
2024-02-29,OPT-2024-007,merton_jump,0.18090000000000028,16425.93740610919,1.0,0.0,0.0,0.0,3.3719,3.191,0.0
2024-02-29,OPT-2024-007,sabr,0.18090000000000028,16425.93740610919,1.0,,,,3.3719,3.191,0.0
2024-02-29,OPT-2024-011,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.3719,3.1399,0.7232876712328767
2024-02-29,OPT-2024-011,merton_jump,1.371130193336679e-190,1.625093543122316e-185,3.2441988987246415e-189,7.56995818795555e-188,2.5576652485101494e-187,7.386993405644571e-188,3.3719,3.1399,0.7232876712328767
2024-02-29,OPT-2024-011,sabr,2.25452233887845e-60,2.6721092668963992e-55,4.5885439074826125e-59,9.167087128840426e-58,2.080445230853494e-57,4.237893198562669e-58,3.3719,3.1399,0.7232876712328767
2024-02-29,OPT-2024-018,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.3719,3.3288,0.3315068493150685
2024-02-29,OPT-2024-018,merton_jump,6.2178945152798905e-65,9.959650649982937e-60,7.131613419205734e-64,7.936855398676657e-63,1.781195291518038e-62,1.6067676756353218e-62,3.3719,3.3288,0.3315068493150685
2024-02-29,OPT-2024-018,sabr,3.5065536017940264e-92,5.616700118261145e-87,2.429483591708734e-90,1.6719167664830087e-88,9.442185678387853e-89,2.1780857840358313e-89,3.3719,3.3288,0.3315068493150685
2024-03-31,OPT-2024-003,black_scholes,0.0,0.0,0.0,0.0,0.0,0.0,3.3741,3.2507,0.4301369863013699
2024-03-31,OPT-2024-003,merton_jump,1.0790080664073004e-86,2.001585181112661e-81,1.5290928868962933e-85,2.114059484303396e-84,5.5193168733762125e-84,3.467369887919633e-84,3.3741,3.2507,0.4301369863013699
2024-03-31,OPT-2024-003,sabr,2.0170924508384687e-62,3.7417536385761176e-57,7.214002626898487e-61,2.5491772765101056e-59,2.5919344575860006e-59,6.552205526362653e-60,3.3741,3.2507,0.4301369863013699
