pricing_date,option_id,model,issue_date,maturity_date,T,spot,strike,price,delta,gamma,vega,theta,rho_d,rho_f,eur_rate,tnd_rate,volatility,notional_eur,option_value_eur
2024-06-01,OPT-2024-001,sabr,2024-05-22,2024-11-22,0.4767123287671233,3.3802,3.1081,1.1521879946874505e-67,4.066724405547931e-66,1.4184939807290096e-64,1.60770171986035e-64,3.8003500212252765e-65,6.498124406281099e-66,-6.553050628493595e-66,3.835,9.12,0.031558886326510785,999159,3.4081917359936006e-62
2024-06-01,OPT-2024-003,sabr,2024-02-21,2024-09-04,0.2602739726027397,3.3802,3.2507,1.5434928377244318e-96,1.446971006225176e-94,1.3490363184354242e-92,5.122972053183699e-93,1.3341039470580466e-93,1.2689960667183125e-94,-1.2730133768438965e-94,3.835,9.12,0.031558886326510785,627035,2.863215287564461e-91
2024-06-01,OPT-2024-006,sabr,2024-01-11,2024-12-26,0.5698630136986301,3.3802,3.311,2.996663089005876e-63,8.002804605775608e-62,2.1057741639503005e-60,3.3276025779876736e-60,7.325511992892923e-61,1.5244641299903455e-61,-1.5415410045797487e-61,3.835,9.12,0.031558886326510785,356508,3.147158323617825e-58
2024-06-01,OPT-2024-007,sabr,2024-01-10,2024-02-18,0.0,3.3802,3.191,0.18920000000000003,1.0,,,,,,3.835,9.12,0.031558886326510785,308261,17179.58738107161
2024-06-01,OPT-2024-008,sabr,2024-03-14,2024-07-02,0.08493150684931507,3.3802,3.1626,1.3267513739914277e-156,7.164785514420764e-154,3.861530651543459e-151,1.8637851561705273e-152,7.3471924302004e-153,2.0557790546445472e-154,-2.0569058845786217e-154,3.835,9.12,0.031558886326510785,661353,2.603248684042463e-151
2024-06-01,OPT-2024-011,sabr,2024-01-19,2024-11-19,0.4684931506849315,3.3802,3.1399,1.5251372459972203e-68,5.5341443526021385e-67,1.9850618245266772e-65,2.1844091796892005e-65,5.152265691451397e-66,8.692422393828194e-67,-8.763874029188612e-67,3.835,9.12,0.031558886326510785,401648,1.807626075838915e-63
2024-06-01,OPT-2024-014,sabr,2024-05-16,2024-11-08,0.4383561643835616,3.3802,3.2867,2.9495670846801833e-72,1.18903467434883e-70,4.742960998336435e-69,4.673438314873617e-69,1.0867378988022364e-69,1.7489005305806523e-70,-1.7618301397189765e-70,3.835,9.12,0.031558886326510785,572525,4.993497235663025e-67
2024-06-01,OPT-2024-016,sabr,2024-05-03,2024-06-18,0.04657534246575343,3.3802,3.1003,3.066522109115451e-148,3.738475217290858e-145,4.5496821199155005e-142,6.995281514939841e-144,4.5100078842223314e-144,5.884201806175796e-146,-5.885630049349904e-146,3.835,9.12,0.031558886326510785,285340,2.595442169534016e-143
2024-06-01,OPT-2024-017,sabr,2024-05-13,2024-09-26,0.32054794520547947,3.3802,3.1748,6.925801912128979e-85,4.646874269566044e-83,3.095759522949422e-81,1.7049522643190446e-81,4.328856118381629e-82,5.012762869214534e-83,-5.034963384932864e-83,3.835,9.12,0.031558886326510785,264899,5.435803385739843e-80
2024-06-01,OPT-2024-018,sabr,2024-01-17,2024-06-29,0.07671232876712329,3.3802,3.3288,7.732328567533341e-178,4.664694442287876e-175,2.8091787740607725e-172,1.2312775828192586e-173,4.3229730866154275e-174,1.2089761619372889e-175,-1.2095693268684968e-175,3.835,9.12,0.031558886326510785,542296,1.2385429031365371e-172
